FPrate,Sensivity,Precision,f1_score,Threshold
0.22502,0.46625,0.92696,0.62043,0.60051
0.22581,0.46707,0.92685,0.62113,0.60017
0.22660,0.46747,0.92667,0.62144,0.60003
0.22739,0.46787,0.92649,0.62176,0.59989
0.22817,0.46873,0.92639,0.62249,0.59955
0.22896,0.46915,0.92621,0.62283,0.59941
0.22975,0.47009,0.92612,0.62363,0.59903
0.23054,0.47050,0.92595,0.62395,0.59889
0.23132,0.47132,0.92583,0.62465,0.59856
0.23211,0.47173,0.92566,0.62497,0.59842
0.23290,0.47214,0.92549,0.62528,0.59827
0.23369,0.47305,0.92539,0.62606,0.59791
0.23447,0.47345,0.92522,0.62638,0.59777
0.23526,0.47421,0.92510,0.62701,0.59746
0.23605,0.47462,0.92493,0.62733,0.59732
0.23684,0.47538,0.92481,0.62797,0.59702
0.23762,0.47575,0.92463,0.62825,0.59689
0.23841,0.47612,0.92446,0.62853,0.59676
0.23920,0.47694,0.92435,0.62922,0.59644
0.23999,0.47731,0.92417,0.62950,0.59631
0.24077,0.47808,0.92406,0.63015,0.59601
0.24156,0.47845,0.92389,0.63042,0.59588
0.24235,0.47918,0.92377,0.63103,0.59559
0.24314,0.47953,0.92359,0.63130,0.59546
0.24392,0.47989,0.92342,0.63156,0.59534
0.24471,0.48058,0.92329,0.63213,0.59508
0.24550,0.48093,0.92312,0.63240,0.59496
0.24629,0.48164,0.92300,0.63298,0.59469
0.24707,0.48201,0.92282,0.63326,0.59456
0.24786,0.48266,0.92270,0.63379,0.59430
0.24865,0.48302,0.92252,0.63406,0.59417
0.24944,0.48338,0.92235,0.63433,0.59404
0.25023,0.48411,0.92223,0.63492,0.59376
0.25101,0.48448,0.92206,0.63520,0.59363
0.25180,0.48520,0.92195,0.63580,0.59335
0.25259,0.48557,0.92178,0.63607,0.59322
0.25338,0.48625,0.92166,0.63662,0.59296
0.25416,0.48662,0.92149,0.63690,0.59283
0.25495,0.48699,0.92132,0.63718,0.59269
0.25574,0.48764,0.92119,0.63771,0.59244
0.25653,0.48801,0.92103,0.63798,0.59231
0.25731,0.48865,0.92090,0.63850,0.59206
0.25810,0.48901,0.92073,0.63876,0.59194
0.25889,0.48966,0.92061,0.63929,0.59169
0.25968,0.49002,0.92044,0.63955,0.59157
0.26046,0.49037,0.92027,0.63982,0.59144
0.26125,0.49099,0.92014,0.64031,0.59121
0.26204,0.49135,0.91998,0.64057,0.59109
0.26283,0.49195,0.91985,0.64106,0.59087
0.26361,0.49230,0.91968,0.64131,0.59075
0.26440,0.49284,0.91954,0.64174,0.59055
0.26519,0.49319,0.91937,0.64199,0.59043
0.26598,0.49354,0.91921,0.64225,0.59031
0.26676,0.49416,0.91908,0.64274,0.59008
0.26755,0.49450,0.91892,0.64299,0.58996
0.26834,0.49510,0.91879,0.64346,0.58973
0.26913,0.49543,0.91862,0.64370,0.58962
0.26991,0.49602,0.91849,0.64417,0.58940
0.27070,0.49635,0.91832,0.64440,0.58928
0.27149,0.49668,0.91816,0.64464,0.58917
0.27228,0.49722,0.91802,0.64506,0.58897
0.27306,0.49756,0.91786,0.64531,0.58884
0.27385,0.49807,0.91772,0.64570,0.58866
0.27464,0.49839,0.91755,0.64593,0.58854
0.27543,0.49892,0.91741,0.64634,0.58835
0.27622,0.49926,0.91725,0.64658,0.58824
0.27700,0.49959,0.91708,0.64682,0.58812
0.27779,0.50015,0.91695,0.64725,0.58791
0.27858,0.50049,0.91679,0.64750,0.58779
0.27937,0.50104,0.91666,0.64793,0.58760
0.28015,0.50138,0.91650,0.64817,0.58748
0.28094,0.50190,0.91636,0.64857,0.58729
0.28173,0.50225,0.91620,0.64882,0.58717
0.28252,0.50260,0.91604,0.64907,0.58705
0.28330,0.50309,0.91590,0.64945,0.58688
0.28409,0.50342,0.91574,0.64969,0.58676
0.28488,0.50387,0.91560,0.65002,0.58660
0.28567,0.50420,0.91543,0.65025,0.58649
0.28645,0.50467,0.91529,0.65061,0.58632
0.28724,0.50500,0.91513,0.65084,0.58621
0.28803,0.50533,0.91497,0.65108,0.58609
0.28882,0.50581,0.91483,0.65144,0.58592
0.28960,0.50613,0.91467,0.65166,0.58581
0.29039,0.50659,0.91453,0.65201,0.58564
0.29118,0.50691,0.91437,0.65224,0.58552
0.29197,0.50739,0.91423,0.65260,0.58536
0.29275,0.50772,0.91407,0.65283,0.58525
0.29354,0.50804,0.91391,0.65305,0.58514
0.29433,0.50847,0.91377,0.65337,0.58498
0.29512,0.50879,0.91361,0.65359,0.58488
0.29590,0.50923,0.91346,0.65392,0.58472
0.29669,0.50953,0.91330,0.65413,0.58461
0.29748,0.50994,0.91316,0.65442,0.58446
0.29827,0.51023,0.91299,0.65462,0.58436
0.29905,0.51053,0.91283,0.65482,0.58425
0.29984,0.51091,0.91268,0.65510,0.58411
0.30063,0.51121,0.91252,0.65531,0.58401
0.30142,0.51162,0.91237,0.65560,0.58386
0.30221,0.51192,0.91221,0.65581,0.58376
0.30299,0.51233,0.91207,0.65611,0.58362
0.30378,0.51265,0.91191,0.65633,0.58351
0.30457,0.51296,0.91175,0.65654,0.58340
0.30536,0.51334,0.91160,0.65682,0.58327
0.30614,0.51364,0.91144,0.65702,0.58316
0.30693,0.51398,0.91129,0.65726,0.58304
0.30772,0.51427,0.91113,0.65745,0.58294
0.30851,0.51466,0.91098,0.65773,0.58281
0.30929,0.51495,0.91082,0.65792,0.58270
0.31008,0.51523,0.91066,0.65812,0.58260
0.31087,0.51560,0.91051,0.65838,0.58247
0.31166,0.51590,0.91035,0.65858,0.58236
0.31244,0.51629,0.91021,0.65886,0.58222
0.31323,0.51661,0.91005,0.65908,0.58212
0.31402,0.51698,0.90991,0.65934,0.58199
0.31481,0.51729,0.90975,0.65955,0.58188
0.31559,0.51759,0.90959,0.65976,0.58177
0.31638,0.51794,0.90945,0.66000,0.58165
0.31717,0.51823,0.90929,0.66020,0.58154
0.31796,0.51861,0.90914,0.66047,0.58141
0.31874,0.51890,0.90899,0.66066,0.58130
0.31953,0.51930,0.90884,0.66094,0.58116
0.32032,0.51960,0.90869,0.66115,0.58106
0.32111,0.51996,0.90854,0.66140,0.58093
0.32189,0.52024,0.90838,0.66159,0.58083
0.32268,0.52053,0.90823,0.66177,0.58072
0.32347,0.52088,0.90808,0.66202,0.58059
0.32426,0.52117,0.90792,0.66221,0.58048
0.32505,0.52152,0.90778,0.66246,0.58036
0.32583,0.52180,0.90762,0.66264,0.58025
0.32662,0.52213,0.90747,0.66287,0.58012
0.32741,0.52241,0.90731,0.66305,0.58002
0.32820,0.52270,0.90716,0.66324,0.57992
0.32898,0.52300,0.90701,0.66345,0.57980
0.32977,0.52328,0.90685,0.66363,0.57970
0.33056,0.52360,0.90670,0.66385,0.57958
0.33135,0.52387,0.90654,0.66402,0.57947
0.33213,0.52421,0.90639,0.66425,0.57934
0.33292,0.52449,0.90624,0.66443,0.57923
0.33371,0.52476,0.90608,0.66461,0.57913
0.33450,0.52508,0.90593,0.66482,0.57901
0.33528,0.52535,0.90578,0.66500,0.57891
0.33607,0.52569,0.90563,0.66524,0.57877
0.33686,0.52599,0.90548,0.66543,0.57866
0.33765,0.52631,0.90533,0.66565,0.57854
0.33843,0.52658,0.90518,0.66582,0.57844
0.33922,0.52685,0.90502,0.66599,0.57833
0.34001,0.52717,0.90488,0.66621,0.57821
0.34080,0.52746,0.90472,0.66640,0.57810
0.34158,0.52779,0.90458,0.66662,0.57798
0.34237,0.52807,0.90443,0.66681,0.57787
0.34316,0.52840,0.90428,0.66704,0.57774
0.34395,0.52868,0.90413,0.66722,0.57764
0.34473,0.52897,0.90398,0.66740,0.57753
0.34552,0.52928,0.90383,0.66761,0.57741
0.34631,0.52956,0.90368,0.66779,0.57730
0.34710,0.52989,0.90354,0.66802,0.57718
0.34788,0.53018,0.90339,0.66820,0.57707
0.34867,0.53054,0.90325,0.66845,0.57693
0.34946,0.53082,0.90310,0.66863,0.57683
0.35025,0.53110,0.90295,0.66881,0.57672
0.35104,0.53141,0.90280,0.66902,0.57660
0.35182,0.53168,0.90265,0.66919,0.57649
0.35261,0.53200,0.90250,0.66940,0.57637
0.35340,0.53228,0.90236,0.66958,0.57626
0.35419,0.53260,0.90221,0.66980,0.57614
0.35497,0.53288,0.90206,0.66998,0.57603
0.35576,0.53316,0.90191,0.67016,0.57592
0.35655,0.53347,0.90177,0.67036,0.57580
0.35734,0.53374,0.90162,0.67054,0.57569
0.35812,0.53404,0.90147,0.67073,0.57557
0.35891,0.53433,0.90133,0.67092,0.57546
0.35970,0.53466,0.90119,0.67114,0.57533
0.36049,0.53493,0.90104,0.67131,0.57522
0.36127,0.53519,0.90089,0.67148,0.57511
0.36206,0.53550,0.90074,0.67168,0.57499
0.36285,0.53577,0.90059,0.67185,0.57487
0.36364,0.53607,0.90045,0.67204,0.57475
0.36442,0.53634,0.90030,0.67222,0.57464
0.36521,0.53666,0.90016,0.67243,0.57451
0.36600,0.53692,0.90001,0.67259,0.57440
0.36679,0.53718,0.89986,0.67275,0.57430
0.36757,0.53748,0.89972,0.67295,0.57417
0.36836,0.53775,0.89957,0.67312,0.57406
0.36915,0.53805,0.89943,0.67331,0.57394
0.36994,0.53832,0.89928,0.67348,0.57383
0.37072,0.53861,0.89913,0.67367,0.57371
0.37151,0.53889,0.89899,0.67385,0.57360
0.37230,0.53917,0.89884,0.67403,0.57350
0.37309,0.53945,0.89870,0.67420,0.57338
0.37387,0.53971,0.89855,0.67437,0.57328
0.37466,0.54000,0.89841,0.67456,0.57317
0.37545,0.54027,0.89826,0.67472,0.57306
0.37624,0.54056,0.89812,0.67491,0.57294
0.37703,0.54082,0.89797,0.67507,0.57284
0.37781,0.54108,0.89783,0.67523,0.57274
0.37860,0.54138,0.89768,0.67542,0.57262
0.37939,0.54164,0.89754,0.67558,0.57252
0.38018,0.54193,0.89740,0.67577,0.57240
0.38096,0.54220,0.89725,0.67594,0.57229
0.38175,0.54249,0.89711,0.67612,0.57218
0.38254,0.54275,0.89697,0.67629,0.57207
0.38333,0.54302,0.89682,0.67645,0.57197
0.38411,0.54331,0.89668,0.67664,0.57185
0.38490,0.54357,0.89653,0.67679,0.57174
0.38569,0.54384,0.89639,0.67697,0.57163
0.38648,0.54411,0.89625,0.67714,0.57152
0.38726,0.54443,0.89611,0.67734,0.57139
0.38805,0.54470,0.89597,0.67751,0.57128
0.38884,0.54497,0.89583,0.67768,0.57118
0.38963,0.54526,0.89569,0.67786,0.57106
0.39041,0.54553,0.89555,0.67803,0.57096
0.39120,0.54582,0.89541,0.67822,0.57084
0.39199,0.54609,0.89527,0.67838,0.57073
0.39278,0.54639,0.89513,0.67858,0.57061
0.39356,0.54665,0.89499,0.67874,0.57051
0.39435,0.54692,0.89484,0.67890,0.57040
0.39514,0.54721,0.89471,0.67908,0.57028
0.39593,0.54746,0.89456,0.67924,0.57017
0.39671,0.54775,0.89443,0.67942,0.57005
0.39750,0.54801,0.89428,0.67958,0.56995
0.39829,0.54830,0.89415,0.67976,0.56984
0.39908,0.54855,0.89400,0.67992,0.56974
0.39986,0.54881,0.89386,0.68007,0.56964
0.40065,0.54910,0.89372,0.68026,0.56952
0.40144,0.54936,0.89358,0.68042,0.56942
0.40223,0.54964,0.89345,0.68059,0.56931
0.40302,0.54991,0.89331,0.68076,0.56920
0.40380,0.55021,0.89317,0.68094,0.56908
0.40459,0.55046,0.89303,0.68110,0.56898
0.40538,0.55072,0.89289,0.68125,0.56888
0.40617,0.55100,0.89275,0.68143,0.56877
0.40695,0.55126,0.89261,0.68158,0.56866
0.40774,0.55153,0.89247,0.68176,0.56855
0.40853,0.55179,0.89233,0.68191,0.56845
