FPrate,Sensivity,Precision,f1_score,Threshold
0.22502,0.47202,0.89378,0.61778,0.72074
0.22581,0.47230,0.89350,0.61795,0.72060
0.22660,0.47252,0.89321,0.61807,0.72049
0.22739,0.47280,0.89294,0.61824,0.72036
0.22817,0.47302,0.89265,0.61837,0.72024
0.22896,0.47325,0.89237,0.61850,0.72013
0.22975,0.47352,0.89209,0.61866,0.71999
0.23054,0.47374,0.89181,0.61878,0.71988
0.23132,0.47401,0.89153,0.61894,0.71974
0.23211,0.47422,0.89125,0.61905,0.71963
0.23290,0.47449,0.89098,0.61921,0.71949
0.23369,0.47470,0.89069,0.61933,0.71939
0.23447,0.47492,0.89041,0.61944,0.71928
0.23526,0.47518,0.89013,0.61960,0.71915
0.23605,0.47538,0.88985,0.61970,0.71904
0.23684,0.47564,0.88957,0.61985,0.71890
0.23762,0.47583,0.88929,0.61995,0.71880
0.23841,0.47607,0.88901,0.62008,0.71867
0.23920,0.47627,0.88873,0.62019,0.71856
0.23999,0.47648,0.88845,0.62029,0.71844
0.24077,0.47672,0.88817,0.62043,0.71832
0.24156,0.47691,0.88789,0.62052,0.71821
0.24235,0.47715,0.88761,0.62066,0.71808
0.24314,0.47735,0.88733,0.62075,0.71798
0.24392,0.47761,0.88706,0.62091,0.71784
0.24471,0.47780,0.88678,0.62100,0.71774
0.24550,0.47803,0.88650,0.62113,0.71761
0.24629,0.47821,0.88622,0.62121,0.71751
0.24707,0.47840,0.88593,0.62130,0.71741
0.24786,0.47862,0.88566,0.62142,0.71728
0.24865,0.47881,0.88538,0.62151,0.71718
0.24944,0.47904,0.88511,0.62163,0.71705
0.25023,0.47922,0.88482,0.62172,0.71695
0.25101,0.47945,0.88455,0.62185,0.71682
0.25180,0.47965,0.88427,0.62194,0.71672
0.25259,0.47984,0.88400,0.62204,0.71661
0.25338,0.48008,0.88373,0.62217,0.71648
0.25416,0.48028,0.88345,0.62227,0.71638
0.25495,0.48051,0.88318,0.62240,0.71625
0.25574,0.48070,0.88290,0.62248,0.71615
0.25653,0.48092,0.88263,0.62260,0.71602
0.25731,0.48111,0.88235,0.62269,0.71592
0.25810,0.48129,0.88208,0.62277,0.71582
0.25889,0.48152,0.88181,0.62290,0.71569
0.25968,0.48170,0.88153,0.62298,0.71559
0.26046,0.48191,0.88126,0.62309,0.71547
0.26125,0.48210,0.88098,0.62317,0.71537
0.26204,0.48230,0.88071,0.62328,0.71526
0.26283,0.48249,0.88044,0.62337,0.71516
0.26361,0.48268,0.88017,0.62346,0.71505
0.26440,0.48294,0.87991,0.62361,0.71492
0.26519,0.48314,0.87964,0.62371,0.71481
0.26598,0.48340,0.87938,0.62386,0.71468
0.26676,0.48361,0.87911,0.62396,0.71457
0.26755,0.48385,0.87885,0.62411,0.71444
0.26834,0.48406,0.87858,0.62420,0.71434
0.26913,0.48432,0.87833,0.62436,0.71420
0.26991,0.48452,0.87806,0.62446,0.71410
0.27070,0.48473,0.87779,0.62457,0.71399
0.27149,0.48497,0.87753,0.62470,0.71387
0.27228,0.48516,0.87727,0.62479,0.71377
0.27306,0.48542,0.87701,0.62494,0.71364
0.27385,0.48560,0.87674,0.62502,0.71355
0.27464,0.48581,0.87648,0.62513,0.71344
0.27543,0.48601,0.87621,0.62522,0.71334
0.27622,0.48620,0.87594,0.62531,0.71325
0.27700,0.48646,0.87569,0.62547,0.71313
0.27779,0.48666,0.87543,0.62556,0.71303
0.27858,0.48691,0.87517,0.62570,0.71292
0.27937,0.48712,0.87491,0.62581,0.71282
0.28015,0.48739,0.87466,0.62597,0.71270
0.28094,0.48759,0.87440,0.62607,0.71260
0.28173,0.48779,0.87414,0.62616,0.71251
0.28252,0.48804,0.87389,0.62630,0.71239
0.28330,0.48823,0.87362,0.62640,0.71229
0.28409,0.48848,0.87337,0.62653,0.71218
0.28488,0.48868,0.87311,0.62663,0.71208
0.28567,0.48891,0.87286,0.62675,0.71197
0.28645,0.48912,0.87260,0.62686,0.71187
0.28724,0.48933,0.87234,0.62697,0.71177
0.28803,0.48959,0.87210,0.62712,0.71165
0.28882,0.48981,0.87184,0.62724,0.71155
0.28960,0.49008,0.87160,0.62739,0.71143
0.29039,0.49030,0.87134,0.62751,0.71133
0.29118,0.49056,0.87110,0.62765,0.71122
0.29197,0.49078,0.87084,0.62777,0.71112
0.29275,0.49102,0.87060,0.62790,0.71101
0.29354,0.49123,0.87034,0.62801,0.71092
0.29433,0.49145,0.87009,0.62812,0.71082
0.29512,0.49170,0.86985,0.62827,0.71071
0.29590,0.49193,0.86959,0.62838,0.71061
0.29669,0.49218,0.86935,0.62853,0.71050
0.29748,0.49241,0.86910,0.62865,0.71040
0.29827,0.49267,0.86886,0.62880,0.71028
0.29905,0.49289,0.86861,0.62891,0.71019
0.29984,0.49311,0.86836,0.62903,0.71009
0.30063,0.49336,0.86812,0.62916,0.70999
0.30142,0.49359,0.86787,0.62928,0.70989
0.30221,0.49384,0.86763,0.62942,0.70978
0.30299,0.49406,0.86739,0.62954,0.70969
0.30378,0.49433,0.86715,0.62969,0.70958
0.30457,0.49456,0.86690,0.62981,0.70948
0.30536,0.49479,0.86666,0.62993,0.70939
0.30614,0.49504,0.86642,0.63008,0.70929
0.30693,0.49528,0.86618,0.63020,0.70919
0.30772,0.49552,0.86594,0.63034,0.70909
0.30851,0.49575,0.86569,0.63046,0.70900
0.30929,0.49602,0.86546,0.63061,0.70889
0.31008,0.49625,0.86522,0.63073,0.70880
0.31087,0.49648,0.86498,0.63085,0.70871
0.31166,0.49676,0.86475,0.63102,0.70860
0.31244,0.49700,0.86451,0.63115,0.70851
0.31323,0.49727,0.86428,0.63131,0.70840
0.31402,0.49752,0.86404,0.63145,0.70831
0.31481,0.49780,0.86381,0.63161,0.70820
0.31559,0.49803,0.86357,0.63173,0.70812
0.31638,0.49830,0.86334,0.63189,0.70801
0.31717,0.49854,0.86311,0.63202,0.70792
0.31796,0.49878,0.86287,0.63215,0.70783
0.31874,0.49904,0.86264,0.63230,0.70773
0.31953,0.49928,0.86240,0.63242,0.70764
0.32032,0.49954,0.86217,0.63257,0.70754
0.32111,0.49979,0.86194,0.63271,0.70746
0.32189,0.50006,0.86171,0.63286,0.70736
0.32268,0.50031,0.86148,0.63300,0.70727
0.32347,0.50055,0.86125,0.63313,0.70718
0.32426,0.50083,0.86102,0.63330,0.70708
0.32505,0.50109,0.86079,0.63344,0.70699
0.32583,0.50136,0.86057,0.63360,0.70689
0.32662,0.50162,0.86034,0.63374,0.70680
0.32741,0.50191,0.86012,0.63391,0.70670
0.32820,0.50216,0.85989,0.63405,0.70661
0.32898,0.50242,0.85966,0.63419,0.70652
0.32977,0.50270,0.85944,0.63436,0.70642
0.33056,0.50296,0.85922,0.63450,0.70633
0.33135,0.50324,0.85900,0.63467,0.70623
0.33213,0.50350,0.85877,0.63481,0.70614
0.33292,0.50378,0.85855,0.63497,0.70604
0.33371,0.50404,0.85833,0.63512,0.70595
0.33450,0.50430,0.85810,0.63526,0.70586
0.33528,0.50458,0.85788,0.63542,0.70576
0.33607,0.50484,0.85766,0.63557,0.70568
0.33686,0.50513,0.85744,0.63574,0.70558
0.33765,0.50540,0.85722,0.63589,0.70549
0.33843,0.50567,0.85700,0.63605,0.70540
0.33922,0.50593,0.85678,0.63619,0.70532
0.34001,0.50620,0.85656,0.63634,0.70523
0.34080,0.50647,0.85634,0.63650,0.70514
0.34158,0.50674,0.85613,0.63665,0.70506
0.34237,0.50704,0.85591,0.63683,0.70496
0.34316,0.50731,0.85570,0.63698,0.70487
0.34395,0.50758,0.85548,0.63714,0.70478
0.34473,0.50785,0.85526,0.63729,0.70470
0.34552,0.50814,0.85505,0.63745,0.70461
0.34631,0.50841,0.85483,0.63760,0.70453
0.34710,0.50868,0.85462,0.63775,0.70445
0.34788,0.50895,0.85440,0.63791,0.70436
0.34867,0.50921,0.85418,0.63805,0.70428
0.34946,0.50948,0.85397,0.63821,0.70420
0.35025,0.50974,0.85375,0.63835,0.70412
0.35104,0.51002,0.85354,0.63851,0.70403
0.35182,0.51027,0.85332,0.63864,0.70395
0.35261,0.51053,0.85311,0.63878,0.70387
0.35340,0.51079,0.85289,0.63893,0.70379
0.35419,0.51105,0.85268,0.63907,0.70371
0.35497,0.51131,0.85246,0.63922,0.70362
0.35576,0.51157,0.85225,0.63936,0.70354
0.35655,0.51184,0.85204,0.63951,0.70345
0.35734,0.51209,0.85182,0.63965,0.70337
0.35812,0.51234,0.85160,0.63978,0.70330
0.35891,0.51260,0.85139,0.63992,0.70321
0.35970,0.51286,0.85117,0.64006,0.70313
0.36049,0.51312,0.85096,0.64021,0.70304
0.36127,0.51338,0.85075,0.64035,0.70296
0.36206,0.51365,0.85054,0.64050,0.70288
0.36285,0.51391,0.85033,0.64064,0.70279
0.36364,0.51417,0.85012,0.64078,0.70271
0.36442,0.51442,0.84990,0.64091,0.70263
0.36521,0.51467,0.84969,0.64105,0.70255
0.36600,0.51494,0.84948,0.64120,0.70246
0.36679,0.51520,0.84927,0.64134,0.70238
0.36757,0.51548,0.84907,0.64150,0.70229
0.36836,0.51574,0.84886,0.64164,0.70221
0.36915,0.51601,0.84865,0.64179,0.70212
0.36994,0.51626,0.84844,0.64192,0.70204
0.37072,0.51650,0.84823,0.64205,0.70196
0.37151,0.51676,0.84802,0.64219,0.70188
0.37230,0.51701,0.84781,0.64232,0.70180
0.37309,0.51725,0.84759,0.64244,0.70171
0.37387,0.51749,0.84738,0.64257,0.70163
0.37466,0.51773,0.84717,0.64269,0.70155
0.37545,0.51797,0.84696,0.64281,0.70147
0.37624,0.51820,0.84674,0.64293,0.70138
0.37703,0.51844,0.84653,0.64306,0.70130
0.37781,0.51868,0.84632,0.64318,0.70122
0.37860,0.51891,0.84611,0.64330,0.70114
0.37939,0.51914,0.84590,0.64341,0.70106
0.38018,0.51937,0.84568,0.64353,0.70098
0.38096,0.51960,0.84547,0.64364,0.70090
0.38175,0.51983,0.84526,0.64375,0.70082
0.38254,0.52007,0.84505,0.64388,0.70074
0.38333,0.52030,0.84484,0.64399,0.70066
0.38411,0.52055,0.84463,0.64412,0.70057
0.38490,0.52078,0.84442,0.64424,0.70049
0.38569,0.52101,0.84421,0.64436,0.70040
0.38648,0.52123,0.84400,0.64446,0.70033
0.38726,0.52144,0.84378,0.64456,0.70025
0.38805,0.52168,0.84358,0.64468,0.70017
0.38884,0.52191,0.84337,0.64479,0.70009
0.38963,0.52215,0.84316,0.64492,0.70000
0.39041,0.52237,0.84295,0.64502,0.69992
0.39120,0.52259,0.84274,0.64513,0.69984
0.39199,0.52281,0.84253,0.64523,0.69977
0.39278,0.52303,0.84232,0.64534,0.69969
0.39356,0.52325,0.84211,0.64545,0.69961
0.39435,0.52347,0.84190,0.64555,0.69954
0.39514,0.52370,0.84169,0.64567,0.69946
0.39593,0.52392,0.84148,0.64577,0.69938
0.39671,0.52415,0.84128,0.64589,0.69930
0.39750,0.52437,0.84107,0.64599,0.69922
0.39829,0.52460,0.84086,0.64610,0.69914
0.39908,0.52482,0.84065,0.64621,0.69906
0.39986,0.52504,0.84044,0.64631,0.69898
0.40065,0.52527,0.84024,0.64643,0.69890
0.40144,0.52548,0.84003,0.64652,0.69882
0.40223,0.52570,0.83982,0.64663,0.69874
0.40302,0.52592,0.83962,0.64674,0.69866
0.40380,0.52616,0.83941,0.64685,0.69857
0.40459,0.52637,0.83920,0.64695,0.69849
0.40538,0.52658,0.83900,0.64705,0.69841
0.40617,0.52684,0.83880,0.64719,0.69832
0.40695,0.52706,0.83859,0.64729,0.69824
0.40774,0.52730,0.83839,0.64741,0.69815
0.40853,0.52751,0.83819,0.64751,0.69807
0.40932,0.52773,0.83798,0.64762,0.69798
0.41010,0.52794,0.83778,0.64771,0.69790
0.41089,0.52816,0.83757,0.64781,0.69782
0.41168,0.52839,0.83737,0.64793,0.69773
0.41247,0.52862,0.83717,0.64804,0.69765
0.41325,0.52884,0.83697,0.64815,0.69757
0.41404,0.52906,0.83676,0.64825,0.69748
0.41483,0.52930,0.83657,0.64837,0.69739
0.41562,0.52952,0.83636,0.64848,0.69731
0.41640,0.52975,0.83616,0.64859,0.69723
0.41719,0.52997,0.83596,0.64869,0.69715
0.41798,0.53019,0.83576,0.64879,0.69707
0.41877,0.53043,0.83556,0.64891,0.69698
0.41955,0.53065,0.83536,0.64902,0.69689
0.42034,0.53089,0.83517,0.64914,0.69680
0.42113,0.53111,0.83497,0.64924,0.69672
0.42192,0.53135,0.83477,0.64937,0.69663
0.42270,0.53158,0.83457,0.64948,0.69654
0.42349,0.53181,0.83437,0.64959,0.69645
0.42428,0.53206,0.83418,0.64972,0.69635
0.42507,0.53229,0.83399,0.64983,0.69626
0.42586,0.53255,0.83380,0.64997,0.69617
0.42664,0.53277,0.83360,0.65007,0.69608
0.42743,0.53302,0.83341,0.65019,0.69598
0.42822,0.53324,0.83321,0.65030,0.69590
0.42901,0.53346,0.83301,0.65040,0.69581
0.42979,0.53372,0.83282,0.65053,0.69571
0.43058,0.53394,0.83263,0.65064,0.69563
0.43137,0.53418,0.83244,0.65076,0.69553
0.43216,0.53440,0.83224,0.65086,0.69545
0.43294,0.53463,0.83204,0.65098,0.69536
0.43373,0.53485,0.83185,0.65108,0.69528
0.43452,0.53507,0.83165,0.65118,0.69519
0.43531,0.53531,0.83146,0.65130,0.69510
0.43609,0.53553,0.83126,0.65140,0.69501
0.43688,0.53577,0.83107,0.65152,0.69491
0.43767,0.53599,0.83088,0.65163,0.69483
0.43846,0.53624,0.83069,0.65175,0.69473
0.43924,0.53646,0.83049,0.65185,0.69465
0.44003,0.53670,0.83031,0.65198,0.69455
0.44082,0.53691,0.83011,0.65207,0.69447
0.44161,0.53713,0.82991,0.65217,0.69439
0.44239,0.53735,0.82972,0.65227,0.69430
0.44318,0.53756,0.82953,0.65237,0.69421
0.44397,0.53779,0.82934,0.65248,0.69412
0.44476,0.53800,0.82914,0.65257,0.69404
0.44554,0.53822,0.82895,0.65267,0.69394
